City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,punta arenas,-53.15,-70.9167,41.11,81,75,11.5,CL,1686770640
288,kutum,14.2,24.6667,82.71,45,42,5.19,SD,1686770719
289,turpan,42.9333,89.1667,94.08,14,100,5.5,CN,1686770876
290,guerrero negro,27.9769,-114.0611,68.79,62,9,21.34,MX,1686770876
291,port macquarie,-31.4333,152.9167,37.89,73,0,4.88,AU,1686770876
292,tuba city,36.135,-111.2399,78.15,19,0,7.52,US,1686770876
293,korenevo,55.6719,38.0078,68.72,48,0,4.47,RU,1686770876
294,fale old settlement,-9.3852,-171.2468,83.14,74,100,9.98,TK,1686770876
295,ancud,-41.8697,-73.8203,48.67,98,100,3.15,CL,1686770877
296,rikaze,29.25,88.8833,49.21,74,92,3.91,CN,1686770877
297,pacasmayo,-7.4006,-79.5714,75.16,68,32,15.19,PE,1686770877
298,magway,20.15,94.9167,79.43,78,97,12.46,MM,1686770877
299,sao tome,0.3365,6.7273,78.58,83,39,10.65,ST,1686770877
300,soio,-6.1349,12.3689,72.75,86,100,8.28,AO,1686770877
301,luau,-10.7073,22.2247,67.82,35,98,5.08,AO,1686770877
302,baijiantan,45.6333,85.1833,77.97,25,99,6.42,CN,1686770878
303,nemuro,43.3236,145.575,55.02,99,85,4.32,JP,1686770878
304,fort bragg,35.139,-79.006,87.21,53,75,18.41,US,1686770878
305,humaita,-7.5061,-63.0208,79.27,52,70,5.3,BR,1686770878
306,tolanaro,-25.0319,46.9987,73.47,73,0,11.5,MG,1686770878
307,puerto aysen,-45.4,-72.7,50.04,87,100,5.75,CL,1686770878
308,naze,28.3667,129.4833,70.72,90,100,3.76,JP,1686770878
309,sitka,57.0531,-135.33,51.69,66,75,5.75,US,1686770879
310,glendive,47.1053,-104.7125,84.76,36,0,13.8,US,1686770879
311,shunyi,40.125,116.6453,67.95,77,0,2.24,CN,1686770879
312,ratnagiri,16.9833,73.3,82.45,83,3,11.81,IN,1686770879
313,grande prairie,55.1667,-118.8027,57.38,72,100,10.36,CA,1686770800
314,calingasta,-31.3308,-69.4078,57.11,6,100,2.13,AR,1686770886
315,areia branca,-4.9561,-37.1369,91.6,73,82,14.81,BR,1686770821
316,lanxi,29.2195,119.477,70.84,81,100,1.07,CN,1686770887
317,north bend,43.4065,-124.2243,66.92,63,0,20.71,US,1686770887
318,kholmsk,47.0511,142.0569,56.19,96,100,7.02,RU,1686770887
319,weno,7.4515,151.8468,84.15,84,100,4.61,FM,1686770887
320,smithers,54.7804,-127.1743,61.12,39,20,5.75,CA,1686770887
321,pakur,24.6333,87.85,92.64,53,45,11.99,IN,1686770887
322,cachoeira,-12.6183,-38.9558,78.8,75,64,8.23,BR,1686770887
323,steamboat springs,40.485,-106.8317,68.34,45,100,8.05,US,1686770649
324,kristiansund,63.1115,7.732,64.45,63,0,11.5,NO,1686770607
325,jati,24.3539,68.2671,82.42,72,20,25.41,PK,1686770888
326,ambovombe,-25.1667,46.0833,67.69,73,0,1.83,MG,1686770888
327,berdychiv,49.8993,28.6024,58.42,90,8,5.26,UA,1686770889
328,libertad,8.9442,125.5019,74.21,89,90,3.83,PH,1686770889
329,quang ngai,15.1167,108.8,77.99,86,100,5.01,VN,1686770889
330,belyy yar,53.6039,91.3903,42.69,93,8,2.24,RU,1686770890
331,jaciara,-15.9653,-54.9683,60.76,64,80,7.43,BR,1686770890
332,tindouf,27.6711,-8.1474,88.61,24,0,17.34,DZ,1686770890
333,aguada de pasajeros,22.385,-80.8508,96.85,36,0,7.18,CU,1686770890
334,lamesa,32.7376,-101.951,89.53,28,7,5.32,US,1686770890
335,karacabey,40.2152,28.4038,68.38,91,0,3.38,TR,1686770658
336,kavieng,-2.5744,150.7967,80.1,84,99,13.87,PG,1686770596
337,la passe,45.5549,-0.8967,75.43,80,100,11.14,FR,1686770891
338,nar'yan-mar,67.6713,53.087,39.83,75,48,14.16,RU,1686770891
339,las tablas,7.7667,-80.2833,86.23,69,100,4.88,PA,1686770891
340,anna regina,7.2644,-58.5077,84.33,67,95,9.46,GY,1686770892
341,hirara,24.8,125.2833,78.66,100,100,8.05,JP,1686770892
342,nebbi,2.4783,31.0889,66.61,86,31,3.22,UG,1686770892
343,lae,-6.7221,146.9847,75.58,89,100,4.94,PG,1686770892
344,kodinsk,58.6881,99.1844,40.32,91,77,4.97,RU,1686770893
345,dharur,18.8167,76.1167,81.61,54,6,21.43,IN,1686770893
346,greenville,35.6127,-77.3663,86.04,50,0,13.8,US,1686770634
347,yamada,39.4667,141.95,64.58,99,100,4.74,JP,1686770893
348,qarauyl,48.9451,79.255,49.24,54,0,7.05,KZ,1686770893
349,angra do heroismo,38.65,-27.2167,68.05,83,14,17.13,PT,1686770893
350,vanimo,-2.6741,141.3028,75.74,95,100,3.31,PG,1686770893
351,salalah,17.0151,54.0924,82.49,94,75,5.75,OM,1686770894
352,guanica,17.9716,-66.908,92.7,73,6,16.73,PR,1686770894
353,kone,-21.0595,164.8658,64.94,85,18,3.09,NC,1686770894
354,bridlington,54.0831,-0.1919,62.89,87,1,5.99,GB,1686770894
355,piranshahr,36.701,45.1413,62.74,42,0,5.39,IR,1686770894
356,as sulayyil,20.4607,45.5779,96.1,13,50,7.7,SA,1686770894
357,okakarara,-20.5833,17.4333,55.83,20,0,3.8,NA,1686770894
358,archangelos,36.2149,28.1149,72.3,78,0,11.18,GR,1686770895
359,codrington,-38.2667,141.9667,53.15,91,100,15.97,AU,1686770895
360,pecos,31.4229,-103.4932,99.25,10,0,0.0,US,1686770666
361,beledweyne,4.7358,45.2036,81.9,56,100,20.42,SO,1686770895
362,peniche,39.3558,-9.3811,71.29,82,7,14.25,PT,1686770895
363,nuzvid,16.7833,80.85,87.66,50,100,5.64,IN,1686770895
364,sanctuary point,-35.1114,150.629,51.75,59,0,8.01,AU,1686770634
